Nome: JOAO PESSOA
Codigo Estacao: A320
Latitude: -7.165409
Longitude: -34.815627
Altitude: 33.5
Situacao: Operante
Data Inicial: 2009-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2009-01-24;1300;1437,656;
2009-01-24;1400;3380,729;
2009-01-24;1500;3688,48;
2009-01-24;1600;3449,531;
2009-01-24;1700;3292,031;
2009-01-24;1800;2555,872;
2009-01-24;1900;1624,813;
2009-01-24;2000;1051,524;
2009-01-24;2100;234,947;
2009-01-24;2200;-2,375;
2009-01-24;2300;-3,5;
2009-01-25;0000;-3,54;
2009-01-25;0100;-3,538;
2009-01-25;0200;-3,54;
2009-01-25;0300;-3,54;
2009-01-25;0400;-3,535;
2009-01-25;0500;-3,526;
2009-01-25;0600;-3,54;
2009-01-25;0700;-3,51;
2009-01-25;0800;-3,54;
2009-01-25;0900;23,917;
2009-01-25;1000;466,064;
2009-01-25;1100;1538,194;
2009-01-25;1200;2028,649;
2009-01-25;1300;2934,817;
2009-01-25;1400;3335,157;
2009-01-25;1500;3591,061;
2009-01-25;1600;3582,447;
2009-01-25;1700;3167,364;
2009-01-25;1800;2896,865;
2009-01-25;1900;1872,517;
2009-01-25;2000;1130,095;
2009-01-25;2100;281,185;
2009-01-25;2200;-3,145;
2009-01-25;2300;-3,54;
2009-01-26;0000;-3,54;
2009-01-26;0100;-3,54;
2009-01-26;0200;-3,538;
2009-01-26;0300;-3,54;
2009-01-26;0400;-3,54;
2009-01-26;0500;-3,54;
2009-01-26;0600;-3,143;
2009-01-26;0700;-3,066;
2009-01-26;0800;-3,515;
2009-01-26;0900;20,178;
2009-01-26;1000;570,652;
2009-01-26;1100;1143,728;
2009-01-26;1200;2212,6;
2009-01-26;1300;2306,29;
2009-01-26;1400;2777,6;
2009-01-26;1500;3663,434;
2009-01-26;1600;3663,555;
2009-01-26;1700;2446,175;
2009-01-26;1800;2683,869;
2009-01-26;1900;1922,802;
2009-01-26;2000;884,531;
2009-01-26;2100;264,012;
2009-01-26;2200;-2,523;
2009-01-26;2300;-3,54;
2009-01-27;0000;-3,54;
2009-01-27;0100;-3,54;
2009-01-27;0200;-3,54;
2009-01-27;0300;-3,54;
2009-01-27;0400;-3,54;
2009-01-27;0500;-3,349;
2009-01-27;0600;-3,54;
2009-01-27;0700;-3,54;
2009-01-27;0800;-3,493;
2009-01-27;0900;18,972;
2009-01-27;1000;456,381;
2009-01-27;1100;1145,479;
2009-01-27;1200;2075,014;
2009-01-27;1300;2866,739;
2009-01-27;1400;3166,937;
2009-01-27;1500;2729,576;
2009-01-27;1600;2839,497;
2009-01-27;1700;2501,675;
2009-01-27;1800;2296,886;
2009-01-27;1900;1736,951;
2009-01-27;2000;639,975;
2009-01-27;2100;159,292;
2009-01-27;2200;-2,476;
2009-01-27;2300;-3,54;
2009-01-28;0000;-3,538;
2009-01-28;0100;-3,54;
2009-01-28;0200;-3,54;
2009-01-28;0300;-3,532;
2009-01-28;0400;-3,534;
2009-01-28;0500;-3,54;
2009-01-28;0600;-3,54;
2009-01-28;0700;-3,54;
2009-01-28;0800;-3,54;
2009-01-28;0900;35,1;
2009-01-28;1000;416,386;
2009-01-28;1100;1078,804;
2009-01-28;1200;2126,884;
2009-01-28;1300;2308,085;
2009-01-28;1400;2774,939;
2009-01-28;1500;null;
2009-01-28;1600;3675,485;
2009-01-28;1700;3063,489;
2009-01-28;1800;2023,006;
2009-01-28;1900;2133,185;
2009-01-28;2000;1106,08;
2009-01-28;2100;291,867;
2009-01-28;2200;-2,69;
2009-01-28;2300;-3,54;
2009-01-29;0000;-3,54;
2009-01-29;0100;-3,54;
2009-01-29;0200;-3,54;
2009-01-29;0300;-3,54;
2009-01-29;0400;-3,531;
2009-01-29;0500;-3,182;
2009-01-29;0600;-3,422;
2009-01-29;0700;-3,068;
2009-01-29;0800;-1,582;
2009-01-29;0900;21,931;
2009-01-29;1000;407,265;
2009-01-29;1100;1000,474;
2009-01-29;1200;943,861;
2009-01-29;1300;1730,022;
2009-01-29;1400;2230,966;
2009-01-29;1500;3258,274;
2009-01-29;1600;2265,477;
2009-01-29;1700;2403,588;
2009-01-29;1800;1901,917;
2009-01-29;1900;1196,604;
2009-01-29;2000;586,291;
2009-01-29;2100;110,242;
2009-01-29;2200;-,881;
2009-01-29;2300;-1,433;
2009-01-30;0000;-,759;
2009-01-30;0100;-,679;
2009-01-30;0200;-,937;
2009-01-30;0300;-1,584;
2009-01-30;0400;-1,503;
2009-01-30;0500;-3,141;
2009-01-30;0600;-2,185;
2009-01-30;0700;-1,237;
2009-01-30;0800;-1,973;
2009-01-30;0900;30,284;
2009-01-30;1000;383,074;
2009-01-30;1100;501,168;
2009-01-30;1200;901,732;
2009-01-30;1300;1115,366;
2009-01-30;1400;1474,249;
2009-01-30;1500;790,012;
2009-01-30;1600;1195,777;
2009-01-30;1700;2095,655;
2009-01-30;1800;801,945;
2009-01-30;1900;1117,055;
2009-01-30;2000;645,917;
2009-01-30;2100;164,776;
2009-01-30;2200;-2,108;
2009-01-30;2300;-3,438;
2009-01-31;0000;-3,43;
2009-01-31;0100;-2,389;
2009-01-31;0200;-1,518;
2009-01-31;0300;-2,59;
2009-01-31;0400;-3,278;
2009-01-31;0500;-2,323;
2009-01-31;0600;-1,488;
2009-01-31;0700;-1,428;
2009-01-31;0800;-1,509;
2009-01-31;0900;13,13;
2009-01-31;1000;486,501;
2009-01-31;1100;1352,132;
2009-01-31;1200;2203,921;
2009-01-31;1300;1539,893;
2009-01-31;1400;1784,33;
2009-01-31;1500;3636,01;
2009-01-31;1600;3509,609;
2009-01-31;1700;3531,825;
2009-01-31;1800;2707,653;
2009-01-31;1900;1761,945;
2009-01-31;2000;958,518;
2009-01-31;2100;127,025;
2009-01-31;2200;-3,107;
2009-01-31;2300;-3,531;
2009-02-01;0000;-3,538;
2009-02-01;0100;-3,509;
2009-02-01;0200;-3,348;
2009-02-01;0300;-3,487;
2009-02-01;0400;-3,54;
2009-02-01;0500;-3,538;
2009-02-01;0600;-3,28;
2009-02-01;0700;-3,5;
2009-02-01;0800;-3,54;
2009-02-01;0900;12,866;
2009-02-01;1000;392,226;
2009-02-01;1100;1057,425;
2009-02-01;1200;1905,77;
2009-02-01;1300;2322,184;
2009-02-01;1400;2825,144;
2009-02-01;1500;2350,018;
2009-02-01;1600;2229,946;
2009-02-01;1700;1826,5;
2009-02-01;1800;2135,95;
2009-02-01;1900;1279,935;
2009-02-01;2000;453,627;
2009-02-01;2100;144,546;
2009-02-01;2200;-3,095;
2009-02-01;2300;-3,54;
2009-02-02;0000;-3,531;
2009-02-02;0100;-3,54;
2009-02-02;0200;-3,54;
2009-02-02;0300;-3,523;
2009-02-02;0400;-3,138;
2009-02-02;0500;-3,529;
2009-02-02;0600;-3,381;
2009-02-02;0700;-3,374;
2009-02-02;0800;-3,13;
2009-02-02;0900;25,276;
2009-02-02;1000;466,157;
2009-02-02;1100;1492,208;
2009-02-02;1200;2253,775;
2009-02-02;1300;2942,145;
2009-02-02;1400;3171,115;
2009-02-02;1500;2714,161;
2009-02-02;1600;2182,767;
2009-02-02;1700;2024,795;
2009-02-02;1800;1873,338;
2009-02-02;1900;1412,189;
2009-02-02;2000;597,149;
2009-02-02;2100;231,379;
2009-02-02;2200;-3,168;
2009-02-02;2300;-3,54;
2009-02-03;0000;-3,54;
2009-02-03;0100;-3,521;
2009-02-03;0200;-3,535;
2009-02-03;0300;-3,47;
2009-02-03;0400;-3,193;
2009-02-03;0500;-3,442;
2009-02-03;0600;-3,518;
2009-02-03;0700;-3,128;
2009-02-03;0800;-2,323;
2009-02-03;0900;6,724;
2009-02-03;1000;137,076;
2009-02-03;1100;427,547;
2009-02-03;1200;1039,012;
2009-02-03;1300;1362,828;
2009-02-03;1400;806,964;
2009-02-03;1500;621,044;
2009-02-03;1600;539,688;
2009-02-03;1700;413,621;
2009-02-03;1800;389,099;
2009-02-03;1900;342,379;
2009-02-03;2000;327,229;
2009-02-03;2100;112,289;
2009-02-03;2200;-1,902;
2009-02-03;2300;-3,34;
2009-02-04;0000;-3,538;
2009-02-04;0100;-2,767;
2009-02-04;0200;-3,09;
2009-02-04;0300;-3,055;
2009-02-04;0400;-1,745;
2009-02-04;0500;-2,838;
2009-02-04;0600;-2,919;
2009-02-04;0700;-3,392;
2009-02-04;0800;-3,54;
2009-02-04;0900;11,465;
2009-02-04;1000;369,645;
2009-02-04;1100;1067,284;
2009-02-04;1200;2425,824;
